Date,Open,High,Low,Close,Volume
2013-06-13,363.4498,363.4498,353.9998,357.5496,890365
2013-06-12,359.4996,366.4998,355.9998,362.9496,474846
2013-06-11,367.9996,368.9496,353.2998,359.4996,662863
2013-06-10,379.3498,379.3498,364.1998,367.0996,299712
2013-06-07,370.9996,380.4996,370.9996,376.0996,432498
2013-06-06,373.9996,373.9996,368.9998,372.2998,201348
2013-06-05,369.9996,375.4996,369.9996,372.7996,254352
2013-06-04,368.9998,374.4996,366.5496,371.1996,274788
2013-06-03,380.9998,381.0496,365.9496,367.5496,441726
2013-05-31,384.4996,388.7496,372.9996,375.6996,651031
2013-05-30,383.3998,384.9496,371.5498,383.5996,822103
2013-05-29,383.2498,386.8996,376.1998,378.2496,593671
2013-05-28,380.0496,383.8996,377.9998,380.7496,335028
2013-05-27,386.9998,388.3996,374.9998,377.2498,486384
2013-05-24,385.9996,390.7498,381.6996,383.2996,618907
2013-05-23,390.9496,390.9996,375.4996,379.9498,762835
2013-05-22,403.9996,404.6998,378.2496,389.1996,1401823
2013-05-21,414.4996,414.4996,400.9996,402.5496,261402
2013-05-20,419.4996,419.4996,406.9996,409.5496,248490
2013-05-17,424.8996,425.7496,415.0498,418.3498,402828
2013-05-16,415.0498,428.4496,412.6996,421.7998,688453
2013-05-15,411.9996,418.3996,410.6496,415.9498,717871
2013-05-14,414.9496,414.9996,407.9998,409.5996,408738
2013-05-13,418.2496,420.9996,406.6996,408.9996,256650
2013-05-10,412.8996,416.6998,410.9998,414.7996,1463509
2013-05-09,409.9996,411.9996,406.9498,409.8996,355146
2013-05-08,408.3996,412.8996,405.0996,409.1998,227184
2013-05-07,407.5498,411.9996,403.6996,406.8996,226860
2013-05-06,404.9998,409.3996,398.6496,408.2496,347922
2013-05-03,411.9996,414.2998,400.9996,403.3498,286518
2013-05-02,415.0996,421.9498,415.0996,417.2496,311904
2013-04-30,416.6998,417.9996,398.1996,414.5998,472596
2013-04-29,413.8498,418.9996,411.7498,415.3996,279000
2013-04-26,412.9996,419.2498,410.9998,413.1996,226836
2013-04-25,412.9996,418.9996,404.8498,415.9996,330552
2013-04-23,414.9996,414.9996,405.2998,412.4998,306252
2013-04-22,407.2498,421.9996,407.2498,415.4496,582259
2013-04-18,402.9996,411.3996,402.9996,405.3496,520123
2013-04-17,405.9996,408.0996,396.9996,400.3996,358668
2013-04-16,397.5996,407.4996,396.9996,405.4498,639781
2013-04-15,378.9996,405.9996,378.9996,394.6996,1233931
2013-04-12,367.2496,375.9996,367.2496,374.3496,243048
2013-04-11,373.2496,373.2996,365.0998,366.6498,303756
2013-04-10,375.8998,376.3996,366.2998,369.5998,378732
2013-04-09,384.9496,385.4496,371.4496,372.9996,301572
2013-04-08,375.4498,382.1998,375.0996,380.2996,253446
2013-04-05,371.9496,379.9996,371.4496,375.3496,227424
2013-04-04,373.9996,377.4996,367.2996,369.6996,402384
2013-04-03,374.9998,379.1998,370.9498,373.6996,333102
2013-04-02,374.9998,381.7996,372.0996,377.8996,258672
2013-04-01,378.5998,379.9996,373.9996,377.0998,180918
2013-03-28,374.7496,383.5996,372.0496,378.1498,307722
